target_id,record_status,firm_name,website,country,region,language_preference,tier,segment,team_size_band,office_count_band,firm_type,sme_focus,suspected_stack_signals,suspected_operational_pain_signals,personalization_note_1,personalization_note_2,account_owner,primary_contact_name,primary_contact_title,secondary_contact_name,secondary_contact_title,relationship_status,sponsor_present,pilot_scope_30_50_dossiers,stack_fragmentation_level,review_close_pain_level,data_access_openness,expected_implementation_speed,process_discipline_score,pain_intensity_score,stack_fragmentation_score,sponsor_likelihood_score,pilot_scope_fit_score,implementation_speed_score,human_in_loop_fit_score,no_core_replacement_fit_score,icp_score_total,score_band,crm_stage,outreach_status,qualification_status,cadence_status,cadence_step_current,first_touch_date,last_touch_date,last_touch_channel,touch_count_total,reply_received,reply_type,meeting_booked,meeting_date,pricing_anchor_band,proposed_setup_fee,proposed_monthly_fee,proposed_term_months,next_step,next_step_due_date,nurture_reason,nurture_revisit_date,stop_reason,source_type,source_link,notes,source_link_2
BAAL-001,researched_public,KMO accounting,https://kmoaccounting.be/,Belgium,9340 Lede,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,digitaal / digital-first,Publieke signalen: boekhouding workflow / fiscal/accountancy mix,Home - KMO accounting,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,Peter De Brauwer,bestuurder,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Personalize outreach to confirmed public decision-maker,,,,,manual_web_research,https://kmoaccounting.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd. Publiek bevestigde decision-maker toegevoegd op 2026-06-07.,https://kmoaccounting.be/over-ons/
BAAL-002,researched_public,VGD België,https://vgd.eu/,Belgium,1780 Wemmel,nl/fr/onbekend,A,Tier A,onbekend,onbekend,accountancy,ja,onbekend,Publieke signalen: efficiëntie / fiscal/accountancy mix / advies naast boekhouding,"Accountancy, Tax & Bedrijfsadvies voor KMO’s | VGD België",Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://vgd.eu/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://vgd.eu/diensten
BAAL-003,researched_public,KBNC,https://kbnc.be/,Belgium,2800 Mechelen,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,digital-first / WinBooks,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,Home - KBNC,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://kbnc.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://kbnc.be/over-ons/
BAAL-004,researched_public,RM Accountants,https://www.rmaccountants.be/,Belgium,2000 Antwerpen,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,digitaal / cloud,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,Home • RM ACCOUNTANTS,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://www.rmaccountants.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://www.rmaccountants.be/contact/
BAAL-005,researched_public,Alberdienst Accountants,https://www.alberdienstaccountants.be/,Belgium,2018 Antwerpen,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,online samenwerking,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,ACCOUNTANTSKANTOOR ALBERDIENST,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://www.alberdienstaccountants.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://www.alberdienstaccountants.be/#about
BAAL-006,researched_public,Fineko,https://www.fineko.be/,Belgium,3600 Genk,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,onbekend,Publieke signalen: ontzorging/adminlast / boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,"Fineko | Wij ontzorgen u en uw bedrijf financieel, fiscaal & juridisch",Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://www.fineko.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://www.fineko.be/contact
BAAL-007,researched_public,A&B Partners,https://abpartners.be/,Belgium,3600 Genk,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,onbekend,Publieke signalen: efficiëntie / boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,"Accountancy, financieel advies en strategie - A&B Partners",Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://abpartners.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://abpartners.be
BAAL-008,researched_public,Wingman Accountants,https://wingman-accountants.be/,Belgium,2100 Deurne,nl/fr/onbekend,A,Tier A,onbekend,onbekend,boekhouding/accountancy,ja,software/tooling,Publieke signalen: boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,Wingman Accountants.Boekhouder en accountant regio Antwerpen en Waasland.,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://wingman-accountants.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publieke individuele contactpersoon nog niet hard bevestigd.,https://wingman-accountants.be/nl/over-ons
BAAL-009,researched_public,Fiduciaire Van Alsenoy,https://www.fva.be/,Belgium,2160 Wommelgem,nl/fr/onbekend,A,Tier A,onbekend,onbekend,fiduciaire/accountancy,ja,digital-first,Publieke signalen: efficiëntie / boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,"Fiduciaire van Alsenoy, Accountancy op maat van KMO's",Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,Brahim Akdim,Partner Gecertificeerd fiscaal accountant,Joeri Van Alsenoy,Partner Fiscaal accountant,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Personalize outreach to confirmed public decision-maker,,,,,manual_web_research,https://www.fva.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar. Publiek bevestigde decision-maker toegevoegd op 2026-06-07.,https://www.fva.be/team/
BAAL-010,researched_public,LINC & PARTNERS,https://flpnv.be/,Belgium,onbekend,nl/fr/onbekend,A,Tier A,onbekend,onbekend,fiduciaire/accountancy,ja,digitaal / digital-first / online samenwerking / software/tooling,Publieke signalen: efficiëntie / boekhouding workflow / fiscal/accountancy mix / advies naast boekhouding,Boekhouders voor zelfstandigen & KMO’s | LINC & PARTNERS,Positioneer als AI control/review/close/reporting layer boven bestaande stack; één platformervaring i.p.v. losse tools.,Pablo,onbekend,onbekend,,,cold,vermoedelijk,onbekend,medium,medium,onbekend,medium,,,,,,,,,,tier_a_research,List Candidate,not_started,research_complete_public,ready_to_start,personalize_first_touch,,,,0,no,,,,standard_icp_anchor,15000,5500,3,Find direct decision-maker email/LinkedIn and personalize first outreach,,,,,manual_web_research,https://flpnv.be/,Publiek geverifieerde website; teamgrootte en sommige buyer-details onbekend tenzij expliciet op site zichtbaar.,https://flpnv.be/over-ons/
